20241223 044500;21695.75;21700.25;21694;21699.25;231
20241223 044600;21699.75;21702.25;21699;21701;235
20241223 044700;21701;21702.5;21700.25;21701.5;121
20241223 044800;21702;21702;21696;21697.75;159
20241223 044900;21698;21698.75;21696.5;21698;292
20241223 045000;21697.75;21698.75;21696.5;21698.75;84
20241223 045100;21699.25;21699.5;21696;21699;81
20241223 045200;21699.25;21701.25;21698;21701.25;98
20241223 045300;21701;21704;21700.75;21702.25;274
20241223 045400;21702.75;21707;21701.25;21706.25;323
20241223 045500;21706.25;21708.5;21705.5;21707.25;248
20241223 045600;21707.25;21708.75;21706.5;21707.5;153
20241223 045700;21707.5;21708;21702.25;21703.25;256
20241223 045800;21703;21707.75;21703;21704.5;200
20241223 045900;21704.75;21705.75;21703.5;21705.75;73
20241223 050000;21706;21707;21704.75;21705.25;104
20241223 050100;21705.5;21707.25;21704.5;21706.75;154
20241223 050200;21706.75;21708.75;21705.75;21706;225
20241223 050300;21706;21709;21704.25;21706.5;162
20241223 050400;21706;21707.75;21706;21707;112
20241223 050500;21707;21711.75;21706.25;21710;338
20241223 050600;21710;21713.5;21709.5;21712.75;270
20241223 050700;21712.5;21714.75;21710.25;21711.5;214
20241223 050800;21711.5;21712.75;21710.5;21712.5;115
20241223 050900;21712.75;21713.5;21710;21713;188
20241223 051000;21713.25;21714;21710.75;21711.25;108
20241223 051100;21711.5;21713.25;21710.75;21712.5;135
20241223 051200;21712.5;21713.5;21710.25;21710.75;117
20241223 051300;21711;21711.75;21708.25;21709.75;205
20241223 051400;21709.75;21709.75;21701.25;21702.5;440
20241223 051500;21703;21705;21701.75;21704.75;156
20241223 051600;21704.25;21705.5;21701.25;21702.5;179
20241223 051700;21701.75;21703.75;21701;21702.5;158
20241223 051800;21702.75;21704;21700.75;21702.25;176
20241223 051900;21702.25;21703;21697.75;21698.75;423
20241223 052000;21698.75;21704.25;21698.75;21703.5;199
20241223 052100;21704;21708.5;21703.75;21708.25;307
20241223 052200;21707.75;21708.5;21704.25;21705.25;156
20241223 052300;21705.25;21705.75;21700.75;21703;169
20241223 052400;21702.75;21703.75;21702.5;21703.5;47
20241223 052500;21704;21706.25;21703;21704.25;136
20241223 052600;21703.75;21704.75;21700.5;21701.25;124
20241223 052700;21701.25;21703.25;21699.5;21703.25;253
20241223 052800;21703;21707;21703;21706.5;139
20241223 052900;21705.75;21721;21704.75;21718.25;946
20241223 053000;21718;21724.25;21717;21721.25;1077
20241223 053100;21721.5;21723.5;21717.5;21721.5;420
20241223 053200;21721.25;21723.75;21720.5;21722.75;174
20241223 053300;21723;21723.5;21719.75;21721.75;271
20241223 053400;21721.75;21727.5;21721.5;21726.5;414
20241223 053500;21726.75;21727;21723.5;21725;227
20241223 053600;21724.75;21725;21722.25;21725;193
20241223 053700;21725.5;21726;21723.75;21726;193
20241223 053800;21726.5;21727.25;21724;21725;120
20241223 053900;21724.25;21724.5;21720.5;21723.75;218
20241223 054000;21723;21724.5;21722.25;21724;106
20241223 054100;21723.75;21729.25;21723.25;21727.75;314
20241223 054200;21727.5;21729.5;21726;21729;120
20241223 054300;21729;21729;21726.75;21728.25;76
20241223 054400;21728.5;21730;21727.5;21729;195
20241223 054500;21729;21729.75;21727.75;21728.75;114
20241223 054600;21728.75;21729.25;21727.5;21727.75;97
20241223 054700;21727.75;21731.5;21727.25;21730.25;237
20241223 054800;21730.25;21730.75;21728.25;21729;177
20241223 054900;21728.5;21729.75;21727.25;21729;96
20241223 055000;21728.5;21729;21723.25;21723.75;244
20241223 055100;21723.75;21726.5;21723.25;21726.5;123
20241223 055200;21726.25;21726.25;21723.75;21725;77
20241223 055300;21724.75;21727.5;21724;21725;124
20241223 055400;21725.5;21726;21724.25;21724.75;63
20241223 055500;21724;21725.75;21723.5;21725;91
20241223 055600;21723.5;21726.25;21723.5;21725.25;97
20241223 055700;21724.75;21728;21724.25;21727.75;138
20241223 055800;21727.75;21728;21725.25;21726.75;142
20241223 055900;21726.5;21729.25;21726.25;21728;123
20241223 060000;21728;21728.5;21726.75;21728.25;66
20241223 060100;21728.5;21728.75;21724;21724.75;204
20241223 060200;21724;21725.25;21721.75;21724.5;192
20241223 060300;21724;21724.25;21715.75;21718;444
20241223 060400;21717.25;21720.25;21717;21720;193
20241223 060500;21720;21722.5;21720;21722.5;128
20241223 060600;21723;21730.25;21723;21728;324
20241223 060700;21728;21730.5;21726.25;21730;207
20241223 060800;21729.75;21734.75;21729.25;21733.25;520
20241223 060900;21733.5;21734;21729.5;21732;206
20241223 061000;21731.75;21738;21731.25;21736.5;516
20241223 061100;21737;21738;21734.75;21735.5;213
20241223 061200;21734.75;21735.75;21733.75;21735.25;137
20241223 061300;21734.75;21735;21731;21731.75;173
20241223 061400;21731.25;21731.75;21725.5;21728.75;384
20241223 061500;21729;21733.75;21728;21731;274
20241223 061600;21731;21736;21729.5;21735.75;208
20241223 061700;21735.75;21737.75;21732.5;21733.75;260
20241223 061800;21734.5;21735.5;21731.25;21732.75;189
20241223 061900;21732.75;21733;21727.75;21731;179
20241223 062000;21731.5;21735;21731.5;21734.75;199
20241223 062100;21734.5;21741.5;21733.75;21738.75;492
20241223 062200;21738.25;21739;21736.5;21739;193
20241223 062300;21739;21740.5;21738.25;21740.25;156
20241223 062400;21740;21740.75;21736.75;21739;152
20241223 062500;21739;21739.25;21738;21738;90
20241223 062600;21737.75;21739;21734.25;21739;169
20241223 062700;21738.75;21740;21737.75;21739.5;99
20241223 062800;21739.75;21740.5;21735.5;21736;178
20241223 062900;21736.5;21736.75;21735.25;21735.75;116
20241223 063000;21736;21736;21732.75;21733.25;169
20241223 063100;21733.5;21737.25;21732;21733;231
20241223 063200;21733;21737;21733;21733.75;144
20241223 063300;21734;21738.25;21733.25;21735.75;137
20241223 063400;21735.25;21735.25;21734;21734.25;76
20241223 063500;21734;21736.25;21729;21731.75;275
20241223 063600;21731.25;21732.25;21729;21731.25;142
20241223 063700;21731;21731.75;21727.5;21730.25;173
20241223 063800;21730;21733;21729.75;21731.5;203
20241223 063900;21731;21735.25;21730;21733.25;264
20241223 064000;21734.5;21735.25;21732.25;21733.25;129
20241223 064100;21733;21733.25;21726;21726.75;256
20241223 064200;21727;21727.75;21722.25;21722.75;391
20241223 064300;21722.75;21724.25;21722;21724;288
20241223 064400;21724.25;21725.25;21722.75;21722.75;148
20241223 064500;21723.25;21726.25;21722.25;21723.75;136
20241223 064600;21723.25;21728;21721.5;21726.75;291
20241223 064700;21727.5;21729.25;21727;21728.25;130
20241223 064800;21728.5;21733;21728.5;21729;235
20241223 064900;21729;21730.25;21726.25;21726.5;184
20241223 065000;21726.5;21727;21725;21726;116
20241223 065100;21725.75;21726.25;21723.25;21724.25;143
20241223 065200;21723.75;21724.25;21713.25;21714;654
20241223 065300;21713.5;21714.75;21711.25;21712.5;285
20241223 065400;21712;21719;21711.75;21718.25;338
20241223 065500;21718.75;21729;21718.25;21728.25;390
20241223 065600;21728.25;21736.25;21727.5;21732.5;559
20241223 065700;21732.5;21735;21730.5;21734.25;221
20241223 065800;21734.75;21738;21733.5;21736.25;256
20241223 065900;21735.75;21736;21732.5;21733.25;157
20241223 070000;21732.75;21733.5;21730;21732;206
20241223 070100;21732;21735;21719.5;21719.75;675
20241223 070200;21720;21720.75;21715;21719.75;463
20241223 070300;21719.5;21726.75;21719.25;21722.5;352
20241223 070400;21721.75;21725.25;21715.25;21723.5;372
20241223 070500;21723.5;21729;21720.5;21721.5;362
20241223 070600;21721.25;21730;21721.25;21727.5;390
20241223 070700;21728;21729.75;21717;21721.25;373
20241223 070800;21721.5;21722;21717.5;21717.5;187
20241223 070900;21717.75;21718.5;21707.25;21708;706
20241223 071000;21708.5;21711.5;21708;21711;269
20241223 071100;21711.25;21720;21710.25;21717.25;358
20241223 071200;21717.75;21720;21712.5;21715;294
20241223 071300;21714.75;21721.75;21714;21718.25;330
20241223 071400;21718.25;21720;21714.75;21714.75;92
20241223 071500;21715.5;21723.75;21715;21721.75;199
20241223 071600;21722;21723;21713.5;21715.75;229
20241223 071700;21715.5;21716;21713.5;21713.75;138
20241223 071800;21713.5;21714;21709.75;21710.5;220
20241223 071900;21710.25;21716;21708.75;21713.75;203
20241223 072000;21713;21715.75;21686;21696.25;2359
20241223 072100;21696.5;21705.75;21689.25;21705.5;1057
20241223 072200;21706;21707.75;21699.75;21706;573
20241223 072300;21706.25;21710.75;21704.75;21707.25;419
